Name,ICAO,Hub,Fleet Size,Destinations,Alliance,Employees
Alaska Airlines,ASA,KSEA,319,98,Oneworld,23000
Allegiant Air,AAY,KLAS,107,129,0,4000
American Airlines,AAL,KDFW,884,350,Oneworld,133700
Delta Airlines,DAL,KATL,750,325,SkyTeam,91000
Eastern Airlines ,EAL,KJFK,14,13,0,0
Frontier Airlines,FFT,KDEN,104,115,0,3000
Hawaiian Airlines,HAL,PHNL,61,32,0,7299
JetBlue Airways,JBU,KJFK,270,104,0,22000
Southwest Airlines,SWA,KDAL,730,111,0,57931
Spirit Airlines,NKS,KACY,158,77,0,8938
Sun Country Airlines,SCX,KMSP,43,58,0,1800
United Airlines,UAL,KORD,827,342,Star Alliance,96000