Manufacturer,Model,Ordered,Delivered,Price,Range ,Seating,MTOW,Takeoff Distance,Ceiling,Wingspan,Age,Country
Airbus,A321XLR,452,0,142,4700,240,222667,7550,39800,117,2,EU
Airbus,A330,779,771,264.2,6350,440,533519,9090,41100,197,27,EU
Airbus,A330neo,331,58,296.4,8000,300,553000,9087,41450,210,6,EU
Airbus,A350-900,745,355,317.4,8100,440,617295,8500,43100,212,11,EU
Airbus,A350-1000,168,53,366.5,8700,480,696661,9000,41450,212,11,EU
Airbus,A380,251,246,445.6,8000,853,1267658,9800,43000,261,18,EU
Boeing,747-8i,155,47,418.4,7730,605,987000,10025,43100,224,13,US
Boeing,777-200LR,61,60,349.6,8555,440,766000,9200,43100,212,28,US
Boeing,777-300ER,838,825,375.5,7370,550,775000,10000,43100,212,28,US
Boeing,777-8X,8,0,410.2,8730,384,775000,9000,43100,235,4,US
Boeing,777-9X,312,0,442.2,7285,426,775000,9125,43100,235,4,US
Boeing,787-8,421,375,248.3,7355,359,502500,8500,43100,197,14,US
Boeing,787-9,879,556,292.5,7635,406,560000,9300,43100,197,14,US
Boeing,787-10,189,61,338.4,6430,440,560000,9100,41100,197,14,US
Comac-UAC,CRAIC CR929,0,0,0,6480,440,540000,9150,0,209,0,RU/CN
Ilyushin,II-96,30,30,50,6558,340,595000,8865,43000,197,29,RU
,,,,,,,,,,,,
,777X folded,,,,,,,,,,,
,wingspan ->,,,,,,,,,,,
,212,,,,,,,,,,,